0	w	90
1	T	2
1	r	2
1	w	90
2	T	1
2	r	4
2	w	113
3	T	3
3	w	6
4	r	51
4	w	56
5	T	4
5	r	177
5	w	4
6	T	80
6	r	3
6	w	8
7	T	173
7	r	81
7	w	46
8	T	53
8	r	3
8	w	1
9	T	4
9	r	1
9	w	2
10	T	2
10	r	2
11	T	2
11	r	18
11	w	9
12	r	3
12	w	2
13	T	17
13	r	5
13	w	1
14	r	4
14	w	3
15	T	3
15	r	8
15	w	1
16	r	6
17	T	5
17	r	1
17	w	2
18	T	1
18	r	2
19	T	4
20	r	9
21	T	8
22	r	1
23	T	4
23	r	3
24	r	1
25	T	1
25	w	2
26	r	2
27	T	2
27	w	1
28	T	2
29	w	1
30	w	2
31	T	9
31	r	3
33	r	2
34	w	1
35	T	1
35	r	1
37	T	3
37	r	2
37	w	3
38	T	3
38	r	1
38	w	1
39	T	1
39	r	1
39	w	1
40	T	2
40	r	1
40	w	1
41	r	2
41	w	1
42	T	1
43	T	2
43	r	3
43	w	2
44	T	2
45	r	4
45	w	1
46	r	2
47	r	1
48	T	1
48	r	2
49	r	2
50	T	3
50	w	3
51	r	1
51	w	1
52	T	3
52	w	3
53	w	3
54	T	1
54	w	2
55	w	1
56	T	1
56	r	2
57	r	1
61	r	3
62	r	1
63	T	1
63	r	5
64	T	1
64	r	2
65	T	1
65	r	4
66	r	1
69	T	2
70	T	2
71	T	1
71	r	1
72	T	3
73	r	2
74	T	1
75	r	1
78	w	1
79	T	1
79	r	1
80	T	1
81	r	3
82	T	1
83	T	2
84	r	1
85	T	1
86	T	1
86	w	1
87	T	2
88	T	2
91	T	1
93	r	1
97	r	1
100	T	1
100	r	1
101	T	1
101	r	3
102	T	1
108	T	2
110	w	1
111	T	3
111	r	3
113	T	1
113	r	2
114	T	1
114	r	1
115	T	3
115	r	1
117	T	2
117	r	1
118	T	3
119	T	2
119	r	2
120	T	2
121	T	1
122	T	1
122	w	1
124	T	1
124	r	1
124	w	1
125	T	1
126	T	2
128	w	2
135	r	1
149	T	1
153	T	1
159	T	1
160	r	1
161	T	1
176	r	2
183	T	1
192	r	1
200	r	2
201	T	1
201	w	1
206	r	1
212	r	1
249	T	1
259	T	1
270	r	1
272	r	1
277	T	1
286	T	1
290	w	1
298	r	1
300	T	1
314	T	1
315	T	1
328	T	2
413	T	1
492	w	1
639	r	1
929	T	1
974	w	1
1065	r	1
1328	r	1
1557	T	1
2302	T	1
3260036	w	1
11509330	r	1
14769366	T	1
